INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,OFFICER_GENDER,OFFICER_RACE
620,01/17/2005 02:37:00 PM,2005-60879,P050170760,DISTRICT 5,9826,INJURY TO PRISONER,13XX AVON PL CINCINNATI OHIO 45214,,,MALE,BLACK,MALE,BLACK
-2112,11/22/1998 11:02:00 PM,9800873,P983261073,DISTRICT 1,9826,INJURY TO PRISONER,10XX SYCAMORE,,,FEMALE,BLACK,MALE,BLACK
-5485,09/19/2001 12:35:00 PM,20010906,P012620553,DISTRICT 4,9826,INJURY TO PRISONER,27XX VAN STREET LOT,,,MALE,BLACK,FEMALE,WHITE
-7051,06/20/2003 11:39:00 PM,20030476,P031711918,DISTRICT 1,9825,CHEMICAL IRRITANT,6XX ELSINORE PL,,,MALE,BLACK,MALE,WHITE
-7051,06/20/2003 11:39:00 PM,20030476,P031711918,DISTRICT 1,9825,CHEMICAL IRRITANT,6XX ELSINORE PL,,,MALE,BLACK,MALE,WHITE
-1414,03/04/1998 01:56:00 AM,9800167,P980350100,DISTRICT 4,9825,CHEMICAL IRRITANT,44XX READING RD,,,FEMALE,WHITE,MALE,TWO OR MORE
2438,06/20/2006 12:14:00 PM,2006-85705,P061710661,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,31XX MCHENRY,,,FEMALE,BLACK,FEMALE,WHITE
3619,11/16/2007 11:00:00 PM,2007-107172,P073201680,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,25XX FAIRHILL AV,,,MALE,BLACK,MALE,BLACK
3926,04/30/2008 08:11:00 PM,2008-113445,LCP080430001605,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,56XX RED CEDAR AV,,,MALE,BLACK,MALE,WHITE
3926,04/30/2008 08:11:00 PM,2008-113445,LCP080430001605,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,56XX RED CEDAR AV,,,MALE,BLACK,MALE,WHITE
-3287,12/19/1999 01:20:00 AM,9901057,P993530082,DISTRICT 1,9825,CHEMICAL IRRITANT,1XX W 12TH,,,MALE,WHITE,MALE,WHITE
-6916,05/09/2003 02:00:00 AM,20030340,P031290109,DISTRICT 1,9826,INJURY TO PRISONER,15XX VINE ST,,,FEMALE,WHITE,MALE,WHITE
1292,06/28/2005 09:23:00 PM,2005-68852,P051791744,DISTRICT 3,9826,INJURY TO PRISONER,20XX WESTWOOD NORTHERN BLVD,,,MALE,BLACK,MALE,WHITE
-3774,05/14/2000 12:15:00 AM,20000467,P001350029,DISTRICT 1,9825,CHEMICAL IRRITANT,2XX E 12TH,,,MALE,WHITE,MALE,WHITE
2288,05/29/2006 12:30:00 PM,2006-83367,P061490639,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX GOODMAN AV,,,MALE,BLACK,FEMALE,WHITE
-3844,06/09/2000 11:54:00 AM,20000537,P001610687,DISTRICT 4,9826,INJURY TO PRISONER,29XX ALMS   PLACE,,,MALE,BLACK,MALE,BLACK
-5845,02/19/2002 07:30:00 PM,20020096,P020501293,DISTRICT 1,9825,CHEMICAL IRRITANT,6XX WALNUT ST 09,,,MALE,WHITE,FEMALE,WHITE
834,01/27/2005 06:38:00 PM,2005-62320,P050271383,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,XX W FOURTH ST,,,MALE,BLACK,MALE,WHITE
-6789,03/26/2003 10:00:00 PM,20030212,P030851772,DISTRICT 1,9826,INJURY TO PRISONER,16XX REPUBLIC ST,,,MALE,BLACK,MALE,WHITE
-6789,03/26/2003 10:00:00 PM,20030212,P030851772,DISTRICT 1,9826,INJURY TO PRISONER,16XX REPUBLIC ST,,,MALE,BLACK,MALE,WHITE
-6789,03/26/2003 10:00:00 PM,20030212,P030851772,DISTRICT 1,9826,INJURY TO PRISONER,16XX REPUBLIC ST,,,MALE,BLACK,MALE,WHITE
-4959,04/10/2001 11:30:00 PM,20010378,P011001852,DISTRICT 1,9826,INJURY TO PRISONER,14XX WALNUT AV,,,MALE,BLACK,MALE,WHITE
-2195,12/11/1998 02:05:00 PM,9800956,P98345068,DISTRICT 4,9825,CHEMICAL IRRITANT,10XX  CHAPEL,,,MALE,BLACK,FEMALE,WHITE
477,07/07/2003 04:30:00 PM,2005-60222,P031881132,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,5XX VINE ST,,,FEMALE,BLACK,MALE,WHITE
477,07/07/2003 04:30:00 PM,2005-60222,P031881132,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,5XX VINE ST,,,FEMALE,BLACK,MALE,WHITE
-7012,05/12/2003 11:54:00 PM,20030437,P031321891,DISTRICT 2,9826,INJURY TO PRISONER,23XX BREMONT AV,,,FEMALE,BLACK,FEMALE,WHITE
-2744,06/27/1999 01:46:00 AM,9900512,P991780159,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX  GILBERT,,,MALE,OTHER,FEMALE,BLACK
3753,02/12/2008 07:35:00 PM,2008-109935,LCP080212001232,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,12XX REPUBLIC ST CINCINNATI OH 45202,,,FEMALE,BLACK,MALE,WHITE
-6956,05/21/2003 05:09:00 AM,20030381,P03140210,DISTRICT 3,9825,CHEMICAL IRRITANT,9XX GRAND AV 8,,,MALE,BLACK,MALE,WHITE
-6956,05/21/2003 05:09:00 AM,20030381,P03140210,DISTRICT 3,9825,CHEMICAL IRRITANT,9XX GRAND AV 8,,,MALE,BLACK,MALE,WHITE
-1800,07/26/1998 03:15:00 AM,9800560,NONE,DISTRICT 1,9825,CHEMICAL IRRITANT,7XX WETE ROSE,,,OTHER,UNKNOWN,MALE,BLACK
-3520,03/08/2000 02:23:00 AM,20000209,P000680161,DISTRICT 4,9825,CHEMICAL IRRITANT,27XX VINE,,,MALE,WHITE,MALE,WHITE
6556,07/28/2012 08:10:00 AM,2012-172138,LCP120728000403,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,7XX S FRED SHUTTLEWORTH CIR,,,MALE,BLACK,MALE,WHITE
-4995,04/11/2001 09:30:00 PM,20010414,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,14XX VINE STREET,,,OTHER,UNKNOWN,MALE,WHITE
-788,06/17/1997 04:44:00 AM,9700435,P971680188,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,19XX MILLVALE COURT,,,MALE,BLACK,MALE,WHITE
-1825,07/31/1998 12:50:00 PM,9800585,P982120574,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,XX  W 15TH ST,,,MALE,BLACK,MALE,BLACK
-5774,01/26/2002 02:23:00 AM,20020025,P020260202,DISTRICT 5,9825,CHEMICAL IRRITANT,54XX GARDENVIEW PL,,,MALE,BLACK,FEMALE,WHITE
4570,03/07/2009 11:45:00 PM,2009-128223,LCP090307000204,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,10XX SETON AV,,,MALE,BLACK,MALE,WHITE
4570,03/07/2009 11:45:00 PM,2009-128223,LCP090307000204,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,10XX SETON AV,,,MALE,BLACK,MALE,WHITE
-7678,03/15/2004 07:31:00 PM,20040177,P040751362,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,19XX WYOMING AVNUE,,,MALE,WHITE,MALE,WHITE
-3103,10/14/1999 03:00:00 AM,9900873,P99180052,DISTRICT 1,9826,INJURY TO PRISONER,13XX REPUBLIC,,,MALE,BLACK,FEMALE,WHITE
2969,02/19/2007 05:55:00 PM,2007-94953,P070501006,DISTRICT 3,9826,INJURY TO PRISONER,27XX E TOWER DR,,,FEMALE,WHITE,FEMALE,WHITE
-479,02/09/1997 11:00:00 PM,9700118,P970401045,DISTRICT 1,9826,INJURY TO PRISONER,17XX HAMER ST,,,MALE,BLACK,MALE,WHITE
-479,02/09/1997 11:00:00 PM,9700118,P970401045,DISTRICT 1,9826,INJURY TO PRISONER,17XX HAMER ST,,,MALE,BLACK,MALE,WHITE
-3597,03/30/2000 05:50:00 PM,20000286,P000900138,DISTRICT 5,9825,CHEMICAL IRRITANT,59XX SALVIA,,,MALE,BLACK,MALE,BLACK
-3616,04/04/2000 11:50:00 PM,20000307,P000951621,DISTRICT 2,2382,USE OF FORCE INVESTIGATION,50XX KENWOOD,,,MALE,BLACK,MALE,WHITE
-3024,09/16/1999 05:35:00 PM,9900793,P992591070,DISTRICT 1,9826,INJURY TO PRISONER,XX  MERCER,,,MALE,BLACK,MALE,WHITE
5959,06/22/2011 05:39:00 PM,2011-157880,LCP110622001255,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,15XX DIXMONT AV,,,MALE,BLACK,MALE,WHITE
6268,01/01/2012 12:15:00 AM,2011-164539,LCP120101000007,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,XX E 5TH ST,,,MALE,BLACK,MALE,WHITE
5327,06/07/2010 02:08:00 AM,2010-144480,LCP100607000143,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,8XX SYCAMORE ST,,,MALE,BLACK,MALE,WHITE
-903,08/01/1997 01:55:00 AM,9700554,P972130122,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,8XX WEHRING WAY,,,MALE,WHITE,MALE,WHITE
-2048,10/15/1998 01:02:00 AM,9800809,P982871549,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,10XX GRAND,,,MALE,WHITE,MALE,WHITE
5673,12/22/2010 12:34:00 PM,2010-151616,101222000642,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,XX FINDLAY ST,,,MALE,BLACK,MALE,TWO OR MORE
-7307,09/19/2003 02:54:00 PM,20030732,P032620976,DISTRICT 2,9826,INJURY TO PRISONER,36XX WOODFORD AV,,,MALE,BLACK,MALE,BLACK
4408,01/01/2009 12:14:00 AM,2008-124755,LCP09010100013,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,32XX BOWLING GREEN AV,,,MALE,BLACK,MALE,WHITE
-6775,03/24/2003 08:10:00 PM,20030198,P030831493,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,1XX EAST 9TH ST,,,MALE,WHITE,MALE,BLACK
1102,05/05/2005 11:52:00 AM,2005-66064,P051250661,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,81XX VINE ST,,,MALE,BLACK,MALE,BLACK
-111,07/22/1996 09:18:00 PM,9600266,P962041057,DISTRICT 4,9825,CHEMICAL IRRITANT,6XX FOREST AV,,,MALE,BLACK,MALE,BLACK
-6229,08/02/2002 12:49:00 AM,20020483,P022140056,DISTRICT 2,9826,INJURY TO PRISONER,55XX STEWART RD,,,MALE,WHITE,FEMALE,WHITE
-3403,02/02/2000 03:06:00 AM,20000092,P000330168,DISTRICT 4,9826,INJURY TO PRISONER,16XX ANITA,,,MALE,BLACK,MALE,WHITE
4651,04/22/2009 06:13:00 PM,2009-129712,LCP090422001413,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,10XX CONSIDINE,,,FEMALE,BLACK,MALE,BLACK
-2344,02/08/1999 12:57:00 AM,9900111,P990381172,DISTRICT 5,9825,CHEMICAL IRRITANT,10XX LUDLOW,,,FEMALE,WHITE,MALE,WHITE
-8014,07/13/2004 08:28:00 PM,20040516,P041951781,DISTRICT 2,9826,INJURY TO PRISONER,36XX NORTHDALE PL,,,MALE,BLACK,MALE,WHITE
-2615,05/14/1999 02:38:00 PM,9900383,P991340694,DISTRICT 4,9826,INJURY TO PRISONER,2XX  ERHMAN,,,MALE,BLACK,FEMALE,WHITE
3476,09/25/2007 05:24:00 AM,2007-104002,P072680220,DISTRICT 2,9826,INJURY TO PRISONER,69XX ROE ST CINCINNATI OHIO 45227,,,MALE,WHITE,MALE,BLACK
8642,10/21/2016 07:05:00 PM,2016-218477,LCP161021001362,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,7XX CIRCLE RD,,,MALE,BLACK,MALE,WHITE
-3523,03/09/2000 02:16:00 AM,20000212,P000690167,DISTRICT 4,9825,CHEMICAL IRRITANT,16XX SYCAMORE,,,MALE,BLACK,MALE,BLACK
1248,06/17/2005 05:23:00 AM,2005-68317,P051680301,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX DORCHESTER AV,,,MALE,BLACK,MALE,BLACK
4228,09/14/2008 02:00:00 PM,2008-120200,LCP080914001073,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,3XX W MEHRING WAY,,,MALE,WHITE,FEMALE,BLACK
-3415,02/10/2000 03:24:00 AM,20000104,P000410186,DISTRICT 1,9825,CHEMICAL IRRITANT,5XX DERRICK TURN,,,MALE,BLACK,MALE,TWO OR MORE
-7257,09/05/2003 02:29:00 PM,20030682,P037480921,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,9XX E MCMILLAN,,,MALE,BLACK,MALE,BLACK
-6887,04/28/2003 04:20:00 PM,20030311,P031180923,DISTRICT 4,9825,CHEMICAL IRRITANT,2XX GOODMAN AV,,,MALE,BLACK,FEMALE,WHITE
-5415,08/15/2001 11:45:00 PM,20010836,P012271790,DISTRICT 5,9826,INJURY TO PRISONER,16XX CHASE AV,,,MALE,BLACK,MALE,WHITE
-5415,08/15/2001 11:45:00 PM,20010836,P012271790,DISTRICT 5,9826,INJURY TO PRISONER,16XX CHASE AV,,,MALE,BLACK,MALE,WHITE
1100,05/05/2005 12:52:00 AM,2005-66037,P051250067,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,25XX HEMLOCK,,,MALE,BLACK,MALE,WHITE
-4288,10/15/2000 09:36:00 PM,20000984,P002891164,DISTRICT 5,9825,CHEMICAL IRRITANT,23XX SCHORR ALLEY,,,MALE,BLACK,FEMALE,WHITE
6531,07/03/2012 06:55:00 PM,2012-171414,LCP120703001438,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,8XX DOERR ALY,,,MALE,BLACK,MALE,WHITE
5362,06/20/2010 02:55:00 AM,2010-144908,LCP100620000231,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX W 5TH ST RM 1931,,,MALE,WHITE,MALE,BLACK
-6779,03/21/2003 09:50:00 PM,20030202,P030801491,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,XX EAST MCMICKEN AV,,,FEMALE,BLACK,FEMALE,BLACK
5087,01/01/2010 11:36:00 AM,2010-139249,LCP100101000747,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,43XX W EIGHTH ST,,,MALE,BLACK,FEMALE,WHITE
5087,01/01/2010 11:36:00 AM,2010-139249,LCP100101000747,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,43XX W EIGHTH ST,,,MALE,BLACK,FEMALE,WHITE
5087,01/01/2010 11:36:00 AM,2010-139249,LCP100101000747,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,43XX W EIGHTH ST,,,MALE,BLACK,FEMALE,WHITE
-3600,04/01/2000 09:20:00 PM,20000289,P000921299,DISTRICT 1,9825,CHEMICAL IRRITANT,11XX VINE,,,MALE,HISPANIC/LATINO,MALE,WHITE
4973,10/21/2009 02:03:00 AM,2009-136999,LCP091020001940,DISTRICT 3,8223,WEAPON DISCHARGE AT AN ANIMAL,7XX STEINER ST,,,FEMALE,WHITE,MALE,WHITE
-4331,10/10/2000 03:19:00 AM,20001027,P002840147,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,2XX HASTINGS PL,,,MALE,BLACK,MALE,WHITE
3769,02/18/2008 02:30:00 PM,2008-110219,LCP08021800795,DISTRICT 1,9826,INJURY TO PRISONER,1XX E 13TH ST CINCINNATI OHIO,,,MALE,BLACK,MALE,BLACK
-2321,02/01/1999 03:37:00 PM,9900088,P990320639,DISTRICT 4,9826,INJURY TO PRISONER,3XX CLINTON SPRINGS,,,MALE,BLACK,MALE,WHITE
6447,05/18/2012 01:45:00 AM,2012-169431,LCP120518000041,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,33XX CLIFTON AV,,,MALE,BLACK,FEMALE,WHITE
-4673,02/09/2001 01:45:00 AM,20010089,P010400114,DISTRICT 1,9825,CHEMICAL IRRITANT,2XX JAIL ALLEY,,,MALE,WHITE,MALE,BLACK
-5330,07/31/2001 02:34:00 AM,20010751,P012120151,DISTRICT 4,9825,CHEMICAL IRRITANT,25XX READING RD,,,MALE,BLACK,MALE,BLACK
-1115,10/27/1997 01:15:00 AM,9701364,973000044,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX SYCAMORE,,,MALE,WHITE,MALE,WHITE
-708,06/24/1997 11:15:00 AM,9700354,P971750529,DISTRICT 1,9825,CHEMICAL IRRITANT,3XX E3TH ST,,,MALE,BLACK,FEMALE,BLACK
-3431,02/15/2000 12:18:00 AM,20000120,P000460004,DISTRICT 4,9825,CHEMICAL IRRITANT,35XX HARVEY,,,MALE,BLACK,MALE,WHITE
-3659,04/19/2000 09:22:00 PM,20000350,P001101459,DISTRICT 5,9825,CHEMICAL IRRITANT,47XX KENNARD,,,MALE,BLACK,MALE,BLACK
3314,07/19/2007 05:33:00 AM,2007-101265,P072000334,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,32XX WHITFIELD AV,,,MALE,BLACK,MALE,WHITE
-6580,12/03/2002 04:49:00 AM,20020836,P023370124,DISTRICT 4,9826,INJURY TO PRISONER,28XX FLORENCE AV,,,MALE,BLACK,MALE,WHITE
-6580,12/03/2002 04:49:00 AM,20020836,P023370124,DISTRICT 4,9826,INJURY TO PRISONER,28XX FLORENCE AV,,,MALE,BLACK,MALE,WHITE
-1267,01/05/1998 01:38:00 AM,9800016,P980050112,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,30XX MONFORT AV,,,MALE,BLACK,MALE,WHITE
2448,07/20/2006 01:40:00 PM,2006-85854,P062011044,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX MAIN ST  CINCINNATI OH 45202,,,MALE,WHITE,MALE,WHITE
1616,10/02/2005 04:25:00 PM,2005-73541,P051500840,DISTRICT 1,9826,INJURY TO PRISONER,16XX RACE ST,,,MALE,BLACK,MALE,WHITE
1616,10/02/2005 04:25:00 PM,2005-73541,P051500840,DISTRICT 1,9826,INJURY TO PRISONER,16XX RACE ST,,,MALE,BLACK,MALE,WHITE
6727,12/06/2012 02:11:00 PM,2012-176588,P121206000773,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,21XX FERGUSON AV,,,MALE,BLACK,MALE,BLACK
2905,01/23/2007 12:41:00 AM,2007-93872,P070230059,DISTRICT 1,9826,INJURY TO PRISONER,9XX RACE ST,,,MALE,BLACK,MALE,WHITE
2905,01/23/2007 12:41:00 AM,2007-93872,P070230059,DISTRICT 1,9826,INJURY TO PRISONER,9XX RACE ST,,,MALE,BLACK,MALE,WHITE
2905,01/23/2007 12:41:00 AM,2007-93872,P070230059,DISTRICT 1,9826,INJURY TO PRISONER,9XX RACE ST,,,MALE,BLACK,MALE,WHITE
-8065,07/16/2004 02:30:00 AM,20040568,P041980185,DISTRICT 4,9826,INJURY TO PRISONER,4XX MC GREGOR AV,,,MALE,BLACK,MALE,WHITE
-3627,04/10/2000 05:30:00 PM,20000318,P00101953,DISTRICT 4,9825,CHEMICAL IRRITANT,59XX RHODE ISLAND,,,FEMALE,BLACK,MALE,BLACK
2465,07/25/2006 01:54:00 PM,2006-85997,P062060959,DISTRICT 1,9826,INJURY TO PRISONER,2XX W 15TH ST,,,MALE,WHITE,MALE,HISPANIC/LATINO
-2020,10/02/1998 06:25:00 PM,9800781,P982751065,DISTRICT 3,9825,CHEMICAL IRRITANT,17XX ELMORE,,,MALE,BLACK,FEMALE,WHITE
-6228,08/10/2002 05:54:00 AM,20020482,P02220311,DISTRICT 3,9825,CHEMICAL IRRITANT,23XX GLENWAY AV,,,MALE,WHITE,MALE,WHITE
-2095,11/08/1998 08:10:00 PM,9800856,P983120996,DISTRICT 1,9826,INJURY TO PRISONER,13XX VINE,,,MALE,BLACK,MALE,BLACK
5627,11/25/2010 02:35:00 AM,2010-150780,LCP101125000177,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,5XX VINE ST CINCINNATI OHIO 45202,,,MALE,WHITE,MALE,BLACK
3284,07/07/2007 01:05:00 AM,2007-100741,P0771880105,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1038  DELTA AVNUE,,,MALE,WHITE,MALE,BLACK
-2737,06/24/1999 11:51:00 PM,9900505,P991751719,DISTRICT 4,9825,CHEMICAL IRRITANT,17XX SEYMOUR,,,MALE,BLACK,MALE,BLACK
-2737,06/24/1999 11:51:00 PM,9900505,P991751719,DISTRICT 4,9825,CHEMICAL IRRITANT,17XX SEYMOUR,,,MALE,BLACK,MALE,BLACK
-4245,10/02/2000 10:45:00 PM,20000941,P002761629,DISTRICT 1,9825,CHEMICAL IRRITANT,XX E MCMICKEN ST,,,MALE,BLACK,MALE,HISPANIC/LATINO
-5417,08/16/2001 01:55:00 AM,20010838,P012280138,DISTRICT 4,9826,INJURY TO PRISONER,22XX VINE STREET,,,MALE,WHITE,MALE,WHITE
-3529,03/11/2000 02:05:00 AM,20000218,P000710157,DISTRICT 4,9825,CHEMICAL IRRITANT,7XX GREENWOOD,,,MALE,BLACK,MALE,BLACK
-1640,05/31/1998 03:37:00 AM,9800398,P981510209,DISTRICT 1,9826,INJURY TO PRISONER,17XX VINE ST`,,,MALE,BLACK,MALE,WHITE
-1640,05/31/1998 03:37:00 AM,9800398,P981510209,DISTRICT 1,9826,INJURY TO PRISONER,17XX VINE ST`,,,MALE,BLACK,MALE,WHITE
563,09/24/2003 07:51:00 PM,2005-60482,P032671633,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,17XX CAMPBELL AL,,,MALE,BLACK,MALE,WHITE
5676,12/23/2010 09:46:00 PM,2010-151636,LCP101223001354,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,15XX BAYMILLER WALK,,,MALE,BLACK,MALE,BLACK
-2967,09/02/1999 05:00:00 PM,9900736,P992451033,DISTRICT 3,9825,CHEMICAL IRRITANT,23XX GLENWAY,,,MALE,WHITE,MALE,WHITE
1359,07/11/2005 02:20:00 PM,2005-70030,P051920785,DISTRICT 5,9826,INJURY TO PRISONER,REAR OF POLICE EQUIPMENT 3335,,,FEMALE,BLACK,FEMALE,WHITE
-5786,01/20/2002 07:57:00 PM,20020037,P020200890,DISTRICT 4,9826,INJURY TO PRISONER,16XX ASMAN ST,,,MALE,BLACK,MALE,WHITE
-5786,01/20/2002 07:57:00 PM,20020037,P020200890,DISTRICT 4,9826,INJURY TO PRISONER,16XX ASMAN ST,,,MALE,BLACK,MALE,WHITE
2849,12/22/2006 05:56:00 PM,2006-92672,P063561134,DISTRICT 1,9826,INJURY TO PRISONER,18XX BAYMILLER ST CINCINNATI OHIO 45214,,,MALE,BLACK,MALE,WHITE
2849,12/22/2006 05:56:00 PM,2006-92672,P063561134,DISTRICT 1,9826,INJURY TO PRISONER,18XX BAYMILLER ST CINCINNATI OHIO 45214,,,MALE,BLACK,MALE,WHITE
3092,03/31/2007 01:08:00 PM,2007-97145,P070900807,OUTSIDE CITY,9823,NONCOMPLIANT SUSPECT/ARRESTEE,9XX TIMBER TRL,,,MALE,BLACK,MALE,WHITE
6532,07/11/2012 01:30:00 AM,2012-171426,LCP120711000041,DISTRICT 4,8223,WEAPON DISCHARGE AT AN ANIMAL,34XX CLEVELAND CT APT,,,MALE,BLACK,MALE,WHITE
-3592,03/27/2000 09:00:00 PM,20000281,P000871366,DISTRICT 2,9826,INJURY TO PRISONER,35XX EDWARDS,,,FEMALE,WHITE,MALE,BLACK
-3592,03/27/2000 09:00:00 PM,20000281,P000871366,DISTRICT 2,9826,INJURY TO PRISONER,35XX EDWARDS,,,FEMALE,WHITE,MALE,BLACK
-6523,12/06/2002 04:43:00 AM,20020778,P023400160,DISTRICT 5,9826,INJURY TO PRISONER,24XX CLIFTON AV,,,MALE,BLACK,MALE,WHITE
-2226,12/22/1998 05:27:00 PM,9800987,P983560882,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,30XX HARVEY,,,FEMALE,WHITE,MALE,WHITE
-2569,03/27/1999 01:10:00 AM,9900337,P990860084,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,26XX EUCLID,,,MALE,WHITE,MALE,WHITE
4581,03/31/2009 04:48:00 PM,2009-128374,LCP090331001160,VORTEX UNIT,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,16XX MOORE ST,,,MALE,BLACK,MALE,ASIAN
-2887,08/11/1999 02:21:00 AM,9900655,P992230181,DISTRICT 1,9826,INJURY TO PRISONER,XX  GREEN ST,,,MALE,BLACK,MALE,WHITE
-2465,03/23/1999 10:12:00 PM,9900233,P990821039,DISTRICT 1,9826,INJURY TO PRISONER,16XX  MOORE,,,MALE,BLACK,FEMALE,WHITE
-3290,12/22/1999 04:35:00 PM,9901060,P3560932,DISTRICT 1,9825,CHEMICAL IRRITANT,12XX VINE,,,MALE,BLACK,MALE,WHITE
6945,06/18/2013 01:25:00 PM,2013-181849,LCP130618000743,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,21XX QUEEN CITY AV,,,MALE,BLACK,MALE,WHITE
-2848,07/28/1999 12:41:00 PM,9900616,P992090665,DISTRICT 4,9826,INJURY TO PRISONER,38XX READING,,,MALE,BLACK,MALE,WHITE
6548,07/24/2012 10:15:00 PM,2012-171966,LCP120724001759,DISTRICT 5,9826,INJURY TO PRISONER,30XX MEEKER ST,,,MALE,BLACK,MALE,WHITE
-254,11/09/1996 12:15:00 PM,9600409,P963140460,DISTRICT 1,9826,INJURY TO PRISONER,14XX PROVIDENCE ST,,,MALE,WHITE,MALE,WHITE
3421,09/03/2007 04:53:00 PM,2007-103144,#P072460880,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,15XX W NORTH BEND RD,,,MALE,BLACK,MALE,WHITE
-723,06/08/1997 05:29:00 AM,9700369,P971590361,DISTRICT 5,9825,CHEMICAL IRRITANT,21XX OHIO,,,MALE,WHITE,MALE,BLACK
8673,11/10/2016 11:40:00 AM,2016-219098,LCP161110000588,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,37XX W LIBERTY AV,,,MALE,BLACK,FEMALE,WHITE
-2374,02/20/1999 01:01:00 AM,9900141,P990510047,DISTRICT 4,9825,CHEMICAL IRRITANT,20XX GILBERT,,,MALE,BLACK,MALE,WHITE
-2789,07/09/1999 02:33:00 PM,9900557,P991900758,DISTRICT 1,9825,CHEMICAL IRRITANT,17XX HUGHES,,,MALE,BLACK,MALE,WHITE
-6490,11/18/2002 10:05:00 PM,20020745,P023221472,DISTRICT 4,9825,CHEMICAL IRRITANT,23XX KEMPER LN,,,MALE,BLACK,FEMALE,WHITE
-2194,11/06/1998 01:30:00 AM,9800955,P983100063,DISTRICT 4,9825,CHEMICAL IRRITANT,33XX READING,,,MALE,BLACK,MALE,WHITE
